[
('003427', 191, 102, 202, 113), 
('003188', 185, 102, 200, 113), 
('001119', 301, 100, 323, 110), 
('003619', 190, 103, 204, 119), 
('003195', 186,  99, 200, 109), 
('003441', 189, 103, 205, 111), 
('002902', 178, 103, 197, 114), 
('003178', 186, 103, 219, 114), 
('003081', 184, 102, 197, 111), 
('003031', 182, 103, 203, 114), 
('000832', 289, 103, 315, 117), 
('003895', 184, 104, 197, 112), 
('000286', 301, 102, 307, 113), 
('001661', 295, 102, 325, 113), 
('003382', 204, 102, 227, 113), 
('003111', 181, 102, 202, 113), 
('002943', 188, 102, 199, 113), 
('004080', 178, 102, 202, 113), 
('003260', 186, 102, 198, 113), 
('004308', 187, 102, 204, 113), 
('003106', 187, 102, 196, 113), 
('003134', 180, 102, 203, 113), 
('003797', 185, 102, 199, 113), 
('003475', 181, 102, 199, 113), 
('003481', 181, 102, 199, 113), 
('003984', 184, 102, 202, 113), 
('004250', 196, 102, 202, 113), 
('003435', 196, 102, 202, 113), 
('003144', 183, 102, 198, 113), 
('003854', 183, 102, 198, 113), 
('003805', 183, 102, 195, 113), 
('002834', 171, 102, 199, 113), 
('003165', 184, 102, 202, 113), 
('004233', 178, 102, 201, 113), 
('002877', 185, 102, 197, 113), 
('003422', 188, 102, 200, 113), 
('000281', 302, 102, 314, 113), 
('003228', 188, 102, 204, 113), 
('002839', 188, 102, 204, 113), 
('002002', 285, 102, 316, 113), 
('003716', 193, 102, 209, 113), 
('003015', 187, 102, 206, 113), 
('003818', 187, 102, 206, 113), 
('003945', 182, 102, 201, 113), 
('003609', 182, 102, 201, 113), 
('004030', 182, 102, 201, 113), 
('003303', 182, 102, 201, 113), 
('003942', 182, 102, 201, 113), 
('003317', 178, 102, 210, 113), 
('000861', 286, 102, 323, 113), 
('002927', 185, 102, 197, 113), 
('003958', 177, 102, 203, 113), 
('003961', 187, 102, 207, 113), 
('004300', 187, 102, 196, 113), 
('004240', 187, 102, 196, 113), 
('004035', 187, 102, 196, 113), 
('002914', 187, 102, 196, 113), 
('004011', 187, 102, 196, 113), 
('003433', 187, 102, 196, 113), 
('004044', 184, 102, 202, 113), 
('003354', 184, 102, 202, 113), 
('002937', 184, 102, 202, 113), 
('001813', 294, 102, 323, 113), 
('002970', 186, 102, 205, 113), 
('004082', 185, 102, 200, 113), 
('003777', 177, 102, 202, 113), 
('003759', 175, 102, 194, 113), 
('003825', 175, 102, 194, 113)
]
